# id, url, from, info
11,"https://www.spa.or.jp/onsen/477/","日本温泉協会","日本では、温泉は「温泉法」という法律によって「地中からゆう出する温水、鉱水及び水蒸気その他のガス（炭化水素を主成分とする天然ガスを除く。）で、別表①に掲げる温度又は物質を有するもの」と定義されています。したがって、地中からゆう出した時の温度が、25℃以上あれば温泉となり、また25℃未満であっても別表の物質（19項目のうちいずれかひとつ以上）が規定量含まれていれば、温泉となります。また条件を満たせば水蒸気やガスも温泉となります。"
12,"https://kotobank.jp/word/%E5%B0%86%E6%A3%8B-78976",kotobank,"日本の室内ゲームの一つ。将棋の原型は古代インドのチャトゥランガ (4人制古代将棋) にみられ，シルクロードを通って各地に伝えられ，その土地で改良されてきた。ヨーロッパに渡ってはチェスとなり，中国においては象棋となった。日本へは中国を経て伝来したとみられる。"
13,"https://ja.wikipedia.org/wiki/%E7%AD%8B%E5%8A%9B%E3%83%88%E3%83%AC%E3%83%BC%E3%83%8B%E3%83%B3%E3%82%B0",wikipedia,"筋力トレーニング（きんりょくトレーニング）とは、骨格筋の出力・持久力の維持向上や筋肥大を目的とした運動の総称。目的の骨格筋へ抵抗 (resistance) をかけることによって行うものは、レジスタンストレーニングとも呼ばれる。抵抗のかけ方にはさまざまなものがあるが、重力や慣性を利用するものや、ゴムなどによる弾性を利用するもの、油圧や空気圧による抵抗を用いるものが一般的である。重力による抵抗を利用する場合は特に、ウエイトトレーニングとも呼ばれる。"
14,"https://ja.wikipedia.org/wiki/%E3%83%8D%E3%82%A4%E3%83%AB%E3%82%A2%E3%83%BC%E3%83%88",wikipedia,"ネイルアート (英語: Nail art) とは、手足の爪に施す化粧や装飾のことである。ネイルアートを施してくれる店をネイルサロン、その技術者を日本では一般的にネイリストという。さまざまなネイルアート用品が市販されており、プロに限らず、自身の爪を飾る創作作業を楽しむために、ネイルアートを行う人も多くなっている"
15,"https://ja.wikipedia.org/wiki/%E3%83%94%E3%82%AF%E3%83%8B%E3%83%83%E3%82%AF",wikipedia,"ピクニックとは、散歩などの途中に野外で食事をすること。自然豊かな場所に出かけて、あらかじめ詰めて運んだ食べ物をそこで食べること。日本語の古語では野掛け（のがけ）という。人間は、建物を作り、この中で生活の様々な用を済ませる。だが、あまりに建物に篭ってばかりではストレスを感じるようにもなる。ピクニックでは、建物から出て、野山や海岸などの自然豊かな場所へ出かけて散歩などを楽しみつつ食事場所へと向かい、自然豊かな場所で食事をする。閉鎖的でマンネリ化した建物内の生活から離れ、開放的な場所で自然を満喫しつつ食事をとると、一般に、食べ物も普段よりおいしく感じられる。"
16,"http://www.sanwa-denshi.co.jp/rc/support/beginner.html",sanwa,"ラジコンとは、ラジオ コントロール (Radio Control) の略称であり、無線により遠隔操作する装置および方式で、RCと記述される場合もあります。模型の自動車、飛行機やヘリコプターなどホビー用が有名ですが、工業や農業など様々な分野で活用されています。"
17,"http://www.bex-isoya.com/?page_id=3391",BEXISOYA,"ロードバイクは、オンロード（舗装路）を高速で、また長距離を長時間走るための自転車です。タイムを競うレースや長距離走行を目的とされているので、重量も走行感も「軽さ」が特徴です。ロングライドやヒルクライム、仲間とレースに参加、サイクリングやポタリング、自転車通勤…などなど、幅広い楽しみ方が出来ますよ。"
18,"https://kotobank.jp/word/%E3%82%B9%E3%82%B1%E3%83%BC%E3%83%88-83672",kotobank,"靴の底にブレードbladeを取り付けた，氷上を滑走するための用具（skate）。また，それを用いてスピード，ジャンプ，演技の美しさなどを競うスポーツ。スケートの歴史は，靴とブレードの改良，リンクの改善，技術の開発，が三位一体となったものである。スケートの競技には，スピードスケート，フィギュアスケート，アイスホッケー，ショートトラックの４種類がある。"
19,"https://tokyo2020.org/jp/games/sport/olympic/skateboarding/",tokyo2020,"前後に車輪がついた板に乗り、トリック（ジャンプ、空中動作、回転などの技）を行い、その技の難易度や高さ、スピードなどを評価する採点競技。東京2020大会で新たにオリンピック種目に採用される"
20,"https://dic.nicovideo.jp/a/%E6%B0%B4%E6%B3%B3","ニコニコ大百科","水泳とは水面または水中で泳ぐこと全般を指す。人が泳ぐためにはそれなりの訓練が必要となる。歴史的には、水辺で生活する上での食料採取や水難回避、移動手段、沐浴からの派生、軍事技術の一つ等として用いられてきた。近代以降はスポーツ競技としての水泳も盛んとなり、世界各地で大会が開催されている。"
21,"https://shumi.info/299","趣味サーチ","仏閣巡りとは、たくさんある寺社を徒歩や自転車、車で回って行く趣味です。 最近話題の 御朱印集め は寺社めぐりの一種です。 その他にも、狛犬や鳥居、仏像観察など、自分なりの注目ポイントを決めてめぐるとおもしろいですよ。"
22,"https://ja.wikipedia.org/wiki/%E3%82%B1%E3%82%A4%E3%83%93%E3%83%B3%E3%82%B0",wikipedia,"ケイビングは、趣味またはスポーツとして洞窟に入る探検活動である。洞窟探検のアウトドアスポーツとしての面を強調した言葉である。日本では、1930年頃から始まった。 水中下の洞窟を探検する洞窟潜水では、上記とは異なった特殊な装備や技術、知識が要求される。"
23,"https://shumi.info/181","趣味サーチ","「これでお酒を作りなさい」そう言って神様が人間に与えた果物、それがぶどうと言われるほど、ぶどうはお酒に適した果物。そんなぶどうからできたお酒、それがワイン。ぶどうをつぶせばちゃんと発酵してお酒になってくれるためワインは古くから世界各地で愛されてきました。"
